,0601a_10,0601a_20,0601a_30,0601c_10,0601c_20,0601c_30,0603a_10,0603a_20,0603a_30
0601a_10,0.5,0.348765,0.093306,0.955598,0.889899,0.637577,0.592233,0.121782,0.148033
0601a_20,0.863813,0.5,0.123333,0.955375,0.92986,0.798371,0.839757,0.278807,0.24187
0601a_30,0.968442,0.942727,0.5,0.970707,0.965,0.903509,0.946125,0.549689,0.367265
0601c_10,0.096473,0.104536,0.049505,0.5,0.486815,0.13755,0.109562,0.059,0.070328
0601c_20,0.221782,0.150699,0.077,0.67357,0.5,0.170526,0.191296,0.081081,0.110647
0601c_30,0.588694,0.407662,0.238051,0.963147,0.931429,0.5,0.557282,0.208506,0.225904
0603a_10,0.581443,0.399408,0.13482,0.958835,0.890316,0.629897,0.5,0.197699,0.203549
0603a_20,0.955556,0.88035,0.672147,0.983,0.967842,0.919884,0.948276,0.5,0.418972
0603a_30,0.940039,0.927165,0.824649,0.970894,0.947217,0.921315,0.932821,0.83502,0.5
